event_name,event_date,weight_class,fighter1,fighter2,method,round,outcome,timestamp
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Women's Strawweight,Elise Reed,Jessica Penne,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Women's Strawweight,Melissa Martinez,Alice Ardelean,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,Heavyweight,Austen Lane,Robelis Despaigne,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Royval vs. Taira,2024-10-12,Flyweight,Brandon Royval,Tatsuro Taira,S-DEC,5,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Royval vs. Taira,2024-10-12,Middleweight,JunYong Park,Brad Tavares,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Royval vs. Taira,2024-10-12,Welterweight,Chidi Njokuani,Jared Gooden,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Royval vs. Taira,2024-10-12,Lightweight,Grant Dawson,Rafa Garcia,KO/TKO              Punches,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Royval vs. Taira,2024-10-12,Welterweight,Daniel Rodriguez,Alex Morono,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Royval vs. Taira,2024-10-12,Flyweight,Ramazan Temirov,CJ Vergara,KO/TKO              Punch,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Royval vs. Taira,2024-10-12,Featherweight,Pat Sabatini,Jonathan Pearce,SUB              Rear Naked Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Royval vs. Taira,2024-10-12,Welterweight,Themba Gorimbo,Niko Price,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Royval vs. Taira,2024-10-12,Heavyweight,Junior Tafa,Sean Sharaf,KO/TKO              Punches,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Royval vs. Taira,2024-10-12,Women's Strawweight,Julia Polastri,Cory McKenna,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Royval vs. Taira,2024-10-12,Bantamweight,Cody Haddon,Dan Argueta,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Royval vs. Taira,2024-10-12,Flyweight,Clayton Carpenter,Lucas Rocha,SUB              Rear Naked Choke,2,fighter1,2025-06-06 18:22:58.060564
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Light Heavyweight,Alex Pereira,Khalil Rountree Jr.,KO/TKO              Punch,4,fighter1,2025-06-06 18:22:58.060564
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Women's Bantamweight,Julianna Pena,Raquel Pennington,S-DEC,5,fighter1,2025-06-06 18:22:58.060564
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Bantamweight,Mario Bautista,Jose Aldo,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Middleweight,Roman Dolidze,Kevin Holland,KO/TKO,1,fighter1,2025-06-06 18:22:58.060564
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Women's Bantamweight,Kayla Harrison,Ketlen Vieira,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Welterweight,Joaquin Buckley,Stephen Thompson,KO/TKO              Punch,3,fighter1,2025-06-06 18:22:58.060564
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Women's Strawweight,Iasmin Lucindo,Marina Rodriguez,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Lightweight,Alexander Hernandez,Austin Hubbard,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Middleweight,Cesar Almeida,Ihor Potieria,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Light Heavyweight,Ryan Spann,Ovince Saint Preux,SUB              Guillotine Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Women's Strawweight,Tecia Pennington,Carla Esparza,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 307: Pereira vs. Rountree Jr.,2024-10-05,Welterweight,Court McGee,Tim Means,SUB              Rear Naked Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Lightweight,Renato Moicano,Benoit Saint Denis,KO/TKO,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Middleweight,Nassourdine Imavov,Brendan Allen,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Featherweight,William Gomis,Joanderson Brito,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Welterweight,Bryan Battle,Kevin Jousset,KO/TKO              Punches,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Featherweight,Morgan Charriere,Gabriel Miranda,KO/TKO              Punch,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Lightweight,Fares Ziam,Matt Frevola,KO/TKO              Knee,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Light Heavyweight,Ion Cutelaba,Ivan Erslan,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Light Heavyweight,Oumar Sy,Da Woon Jung,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Lightweight,Ludovit Klein,Roosevelt Roberts,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Bantamweight,Taylor Lapilus,Vince Morales,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Women's Bantamweight,Ailin Perez,Daria Zhelezniakova,SUB              Arm Triangle,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Flyweight,Daniel Barez,Victor Altamirano,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Women's Bantamweight,Jacqueline Cavalcanti,Nora Cornolle,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,Lightweight,Chris Duncan,Bolaji Oki,SUB              Guillotine Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC 306: Riyadh Season Noche UFC,2024-09-14,Bantamweight,Merab Dvalishvili,Sean O'Malley,U-DEC,5,fighter1,2025-06-06 18:22:58.060564
UFC 306: Riyadh Season Noche UFC,2024-09-14,Women's Flyweight,Valentina Shevchenko,Alexa Grasso,U-DEC,5,fighter1,2025-06-06 18:22:58.060564
UFC 306: Riyadh Season Noche UFC,2024-09-14,Featherweight,Diego Lopes,Brian Ortega,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 306: Riyadh Season Noche UFC,2024-09-14,Lightweight,Esteban Ribovics,Daniel Zellhuber,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 306: Riyadh Season Noche UFC,2024-09-14,Flyweight,Ronaldo Rodriguez,Ode Osbourne,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 306: Riyadh Season Noche UFC,2024-09-14,Women's Bantamweight,Norma Dumont,Irene Aldana,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 306: Riyadh Season Noche UFC,2024-09-14,Lightweight,Ignacio Bahamondes,Manuel Torres,KO/TKO              Punch,1,fighter1,2025-06-06 18:22:58.060564
UFC 306: Riyadh Season Noche UFC,2024-09-14,Women's Strawweight,Ketlen Souza,Yazmin Jauregui,SUB              Rear Naked Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC 306: Riyadh Season Noche UFC,2024-09-14,Flyweight,Joshua Van,Edgar Chairez,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 306: Riyadh Season Noche UFC,2024-09-14,Bantamweight,Raul Rosas Jr., Aoriqileng,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Brady,2024-09-07,Welterweight,Sean Brady,Gilbert Burns,U-DEC,5,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Brady,2024-09-07,Women's Flyweight,Natalia Silva,Jessica Andrade,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Brady,2024-09-07,Featherweight,Steve Garcia,Kyle Nelson,KO/TKO              Elbows,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Brady,2024-09-07,Bantamweight,Cody Durden,Matt Schnell,SUB              Guillotine Choke,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Brady,2024-09-07,Lightweight,Yanal Ashmouz,Trevor Peek,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Brady,2024-09-07,Lightweight,Chris Padilla, Rongzhu,KO/TKO,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Brady,2024-09-07,Featherweight,Isaac Dulgarian,Brendon Marotte,SUB              Arm Triangle,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Brady,2024-09-07,Flyweight,Andre Lima,Felipe dos Santos,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Brady,2024-09-07,Featherweight,Gabriel Santos, Yizha,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Brady,2024-09-07,Women's Strawweight,Jaqueline Amorim,Vanessa Demopoulos,SUB              Armbar,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Brady,2024-09-07,Middleweight,Andre Petroski,Dylan Budka,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Burns vs. Brady,2024-09-07,Featherweight,Nathan Fletcher,Zygimantas Ramaska,SUB              Arm Triangle,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Middleweight,Caio Borralho,Jared Cannonier,U-DEC,5,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Women's Strawweight,Tabatha Ricci,Angela Hill,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Middleweight,Ryan Loder,Robert Valentin,KO/TKO              Elbows,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Featherweight,Mairon Santos,Kaan Ofli,KO/TKO              Punch,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Welterweight,Michael Morales,Neil Magny,KO/TKO              Punches,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Middleweight,Gerald Meerschaert,Edmen Shahbazyan,SUB              Arm Triangle,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Lightweight,Francis Marshall,Dennis Buzukja,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Middleweight,Zachary Reese,Jose Daniel Medina,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Lightweight,Viacheslav Borshchev,James Llontop,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Women's Bantamweight,Jacqueline Cavalcanti,Josiane Nunes,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Cannonier vs. Borralho,2024-08-24,Women's Flyweight,Wang Cong,Victoria Leonardo,KO/TKO              Punches,1,fighter1,2025-06-06 18:22:58.060564
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Middleweight,Dricus Du Plessis,Israel Adesanya,SUB              Rear Naked Choke,4,fighter1,2025-06-06 18:22:58.060564
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Flyweight,Kai Kara-France,Steve Erceg,KO/TKO              Punch,1,fighter1,2025-06-06 18:22:58.060564
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Lightweight,Dan Hooker,Mateusz Gamrot,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Heavyweight,Jairzinho Rozenstruik,Tai Tuivasa,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Welterweight,Carlos Prates,Li Jingliang,KO/TKO              Punch,2,fighter1,2025-06-06 18:22:58.060564
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Heavyweight,Valter Walker,Junior Tafa,SUB              Heel Hook,1,fighter1,2025-06-06 18:22:58.060564
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Featherweight,Ricardo Ramos,Josh Culibao,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Women's Flyweight,Casey O'Neill,Luana Santos,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Featherweight,Jack Jenkins,Herbert Burns,KO/TKO              Punches,3,fighter1,2025-06-06 18:22:58.060564
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Lightweight,Tom Nolan,Alex Reyes,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Welterweight,Song Kenan,Ricky Glenn,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 305: Du Plessis vs. Adesanya,2024-08-17,Flyweight,Jesus Aguilar,Stewart Nicoll,SUB              Guillotine Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,Heavyweight,Serghei Spivac,Marcin Tybura,SUB              Armbar,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,Featherweight,Chepe Mariscal,Damon Jackson,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,Welterweight,Danny Barlow,Nikolay Veretennikov,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,Bantamweight,Chris Gutierrez,Quang Le,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,Women's Bantamweight,Yana Santos,Chelsea Chandler,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,Bantamweight,Toshiomi Kazama,Charalampos Grigoriou,SUB              Triangle Choke,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,Women's Bantamweight,Karol Rosa,Pannie Kianzad,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,Heavyweight,Jhonata Diniz,Karl Williams,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,Featherweight,Youssef Zalal,Jarno Errens,SUB              Rear Naked Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,Women's Strawweight,Stephanie Luciano,Talita Alencar,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Bantamweight,Umar Nurmagomedov,Cory Sandhagen,U-DEC,5,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Middleweight,Shara Magomedov,Michal Oleksiejczuk,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Bantamweight,Deiveson Figueiredo,Marlon Vera,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Welterweight,Michael Chiesa,Tony Ferguson,SUB              Rear Naked Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Women's Strawweight,Mackenzie Dern,Loopy Godinez,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Lightweight,Joel Alvarez,Elves Brener,KO/TKO              Knees,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Light Heavyweight,Azamat Murzakanov,Alonzo Menifield,KO/TKO              Punches,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Lightweight,Kaue Fernandes,Mohammad Yahya,KO/TKO              Punches,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Heavyweight,Shamil Gaziev,Don'Tale Mayes,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Lightweight,Guram Kutateladze,Jordan Vucenic,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Women's Strawweight,Sam Hughes,Viktoriia Dudakova,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Lightweight,Jai Herbert,Rolando Bedoya,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,Middleweight,Sedriques Dumas,Denis Tiuliulin,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Welterweight,Belal Muhammad,Leon Edwards,U-DEC,5,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Heavyweight,Tom Aspinall,Curtis Blaydes,KO/TKO              Punch,1,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Lightweight,Paddy Pimblett,King Green,SUB              Triangle Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Middleweight,Gregory Rodrigues,Christian Leroy Duncan,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Featherweight,Arnold Allen,Giga Chikadze,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Featherweight,Nathaniel Wood,Daniel Pineda,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Women's Strawweight,Bruna Brasil,Molly McCann,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Bantamweight,Jake Hadley,Caolan Loughran,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Flyweight,Muhammad Mokaev,Manel Kape,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Welterweight,Oban Elliott,Preston Parsons,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Light Heavyweight,Modestas Bukauskas,Marcin Prachnio,SUB              Arm Triangle,3,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Welterweight,Sam Patterson,Kiefer Crosbie,SUB              Arm Triangle,1,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Heavyweight,Mick Parkin,Lukasz Brzeski,KO/TKO              Punches,1,fighter1,2025-06-06 18:22:58.060564
UFC 304: Edwards vs. Muhammad 2,2024-07-27,Women's Strawweight,Shauna Bannon,Alice Ardelean,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Women's Strawweight,Virna Jandiroba,Amanda Lemos,SUB              Armbar,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Featherweight,Steve Garcia,SeungWoo Choi,KO/TKO              Punch,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Lightweight,Kurt Holobaugh,Kaynan Kruschewsky,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Flyweight,Bruno Silva,Cody Durden,KO/TKO              Punches,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Featherweight,Dooho Choi,Bill Algeo,KO/TKO              Punch,2,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Featherweight,Hyder Amil,JeongYeong Lee,KO/TKO              Punches,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Bantamweight,Cody Gibson,Brian Kelleher,SUB              Arm Triangle,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Women's Flyweight,Miranda Maverick,Dione Barbosa,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Lightweight,Trey Ogden,Loik Radzhabov,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Women's Flyweight,Luana Carolina,Lucie Pudilova,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Heavyweight,Thomas Petersen,Mohammed Usman,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Women's Flyweight,Rose Namajunas,Tracy Cortez,U-DEC,5,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Welterweight,Muslim Salikhov,Santiago Ponzinibbio,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Lightweight,Jean Silva,Drew Dober,KO/TKO,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Welterweight,Gabriel Bonfim,Ange Loosa,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Featherweight,Julian Erosa,Christian Rodriguez,SUB              Guillotine Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Middleweight,Abdul Razak Alhassan,Cody Brundage,CNC,1,No contest,2025-06-06 18:22:58.060564
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Flyweight,Charles Johnson,Joshua Van,KO/TKO              Punch,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Women's Flyweight,Jasmine Jasudavicius,Fatima Kline,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Bantamweight,Montel Jackson,Da'Mon Blackshear,KO/TKO              Punch,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Women's Flyweight,Luana Santos,Mariya Agapova,SUB              Rear Naked Choke,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Middleweight,Andre Petroski,Josh Fremd,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Welterweight,Evan Elder,Darrius Flowers,SUB              Arm Triangle,2,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Light Heavyweight,Alex Pereira,Jiri Prochazka,KO/TKO              Kick,2,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Catch Weight,Diego Lopes,Dan Ige,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Light Heavyweight,Roman Dolidze,Anthony Smith,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Women's Bantamweight,Macy Chiasson,Mayra Bueno Silva,KO/TKO,2,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Welterweight,Ian Machado Garry,Michael Page,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Middleweight,Joe Pyfer,Marc-Andre Barriault,KO/TKO              Punch,1,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Featherweight,Andre Fili,Cub Swanson,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Featherweight,Jean Silva,Charles Jourdain,KO/TKO              Punch,2,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Bantamweight,Payton Talbott,Yanis Ghemmouri,KO/TKO              Punch,1,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Women's Strawweight,Gillian Robertson,Michelle Waterson-Gomez,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Heavyweight,Martin Buday,Andrei Arlovski,S-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Flyweight,Rei Tsuruya,Carlos Hernandez,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC 303: Pereira vs. Prochazka 2,2024-06-29,Bantamweight,Vinicius Oliveira,Ricky Simon,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,Middleweight,Robert Whittaker,Ikram Aliskerov,KO/TKO              Punch,1,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,Heavyweight,Alexander Volkov,Sergei Pavlovich,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,Middleweight,Kelvin Gastelum,Daniel Rodriguez,U-DEC,3,fighter1,2025-06-06 18:22:58.060564
UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,Middleweight,Shara Magomedov,Antonio Trocoli,KO/TKO              Punches,3,fighter1,2025-06-06 18:22:58.060564
